product_category_name,delayed_orders,total_orders,delay_percentage
agro_industria_e_comercio,9,182,"0,0495"
alimentos,44,450,"0,0978"
alimentos_bebidas,14,227,"0,0617"
artes,15,202,"0,0743"
artes_e_artesanato,2,23,"0,0870"
artigos_de_festas,1,39,"0,0256"
artigos_de_natal,12,128,"0,0938"
audio,45,350,"0,1286"
automotivo,328,3897,"0,0842"
bebes,258,2885,"0,0894"
bebidas,19,297,"0,0640"
beleza_saude,776,8836,"0,0878"
brinquedos,286,3886,"0,0736"
cama_mesa_banho,811,9416,"0,0861"
casa_conforto,41,397,"0,1033"
casa_conforto_2,4,24,"0,1667"
casa_construcao,39,490,"0,0796"
cine_foto,5,65,"0,0769"
climatizacao,10,253,"0,0395"
consoles_games,83,1062,"0,0782"
construcao_ferramentas_construcao,67,748,"0,0896"
construcao_ferramentas_ferramentas,6,97,"0,0619"
construcao_ferramentas_iluminacao,22,244,"0,0902"
construcao_ferramentas_jardim,13,194,"0,0670"
construcao_ferramentas_seguranca,7,166,"0,0422"
cool_stuff,243,3629,"0,0670"
dvds_blu_ray,4,59,"0,0678"
eletrodomesticos,50,764,"0,0654"
eletrodomesticos_2,16,234,"0,0684"
eletronicos,247,2550,"0,0969"
eletroportateis,38,629,"0,0604"
esporte_lazer,584,7718,"0,0757"
fashion_bolsas_e_acessorios,121,1864,"0,0649"
fashion_calcados,15,240,"0,0625"
fashion_esporte,2,27,"0,0741"
fashion_roupa_feminina,2,39,"0,0513"
fashion_roupa_masculina,5,112,"0,0446"
fashion_underwear_e_moda_praia,15,121,"0,1240"
ferramentas_jardim,274,3517,"0,0779"
flores,1,29,"0,0345"
fraldas_higiene,1,27,"0,0370"
industria_comercio_e_negocios,19,235,"0,0809"
informatica_acessorios,503,6689,"0,0752"
instrumentos_musicais,54,628,"0,0860"
livros_importados,2,53,"0,0377"
livros_interesse_geral,34,512,"0,0664"
livros_tecnicos,28,260,"0,1077"
malas_acessorios,56,1034,"0,0542"
market_place,13,280,"0,0464"
moveis_colchao_e_estofado,5,38,"0,1316"
moveis_cozinha_area_de_servico_jantar_e_jardim,11,248,"0,0444"
moveis_decoracao,535,6446,"0,0830"
moveis_escritorio,115,1273,"0,0903"
moveis_quarto,7,95,"0,0737"
moveis_sala,35,422,"0,0829"
musica,3,38,"0,0789"
papelaria,176,2311,"0,0762"
pcs,13,181,"0,0718"
perfumaria,228,3162,"0,0721"
pet_shop,106,1710,"0,0620"
portateis_casa_forno_e_cafe,5,75,"0,0667"
portateis_cozinha_e_preparadores_de_alimentos,1,14,"0,0714"
relogios_presentes,468,5624,"0,0832"
sinalizacao_e_seguranca,8,140,"0,0571"
tablets_impressao_imagem,5,79,"0,0633"
telefonia,349,4198,"0,0831"
telefonia_fixa,11,217,"0,0507"
utilidades_domesticas,399,5884,"0,0678"
